"","Row","view","time","name"
"293",48,19358,"2015-11-17","Bernie_Sanders"
"294",49,19312,"2015-11-18","Bernie_Sanders"
"295",50,19408,"2015-11-19","Bernie_Sanders"
"296",51,17412,"2015-11-20","Bernie_Sanders"
"297",52,13405,"2015-11-21","Bernie_Sanders"
"298",53,12961,"2015-11-22","Bernie_Sanders"
"299",54,14742,"2015-11-23","Bernie_Sanders"
"300",55,22856,"2015-11-24","Bernie_Sanders"
"301",56,15289,"2015-11-25","Bernie_Sanders"
"302",57,13979,"2015-11-26","Bernie_Sanders"
"303",58,11755,"2015-11-27","Bernie_Sanders"
"304",59,10701,"2015-11-28","Bernie_Sanders"
"305",60,12555,"2015-11-29","Bernie_Sanders"
"306",61,11665,"2015-11-30","Bernie_Sanders"
"307",62,13419,"2015-12-01","Bernie_Sanders"
"308",63,12538,"2015-12-02","Bernie_Sanders"
"309",64,11988,"2015-12-03","Bernie_Sanders"
"310",65,11345,"2015-12-04","Bernie_Sanders"
"311",66,9079,"2015-12-05","Bernie_Sanders"
"312",67,11565,"2015-12-06","Bernie_Sanders"
"313",68,16188,"2015-12-07","Bernie_Sanders"
"314",69,21759,"2015-12-08","Bernie_Sanders"
"315",70,33903,"2015-12-09","Bernie_Sanders"
"316",71,28291,"2015-12-10","Bernie_Sanders"
"317",72,21180,"2015-12-11","Bernie_Sanders"
"318",73,17126,"2015-12-12","Bernie_Sanders"
"319",74,16685,"2015-12-13","Bernie_Sanders"
"320",75,16084,"2015-12-14","Bernie_Sanders"
"321",76,17968,"2015-12-15","Bernie_Sanders"
"322",77,25930,"2015-12-16","Bernie_Sanders"
"323",78,21817,"2015-12-17","Bernie_Sanders"
"324",79,28892,"2015-12-18","Bernie_Sanders"
"325",80,25675,"2015-12-19","Bernie_Sanders"
"326",81,102341,"2015-12-20","Bernie_Sanders"
"327",82,28088,"2015-12-21","Bernie_Sanders"
"328",83,21907,"2015-12-22","Bernie_Sanders"
"329",84,24656,"2015-12-23","Bernie_Sanders"
"330",85,22775,"2015-12-24","Bernie_Sanders"
"331",86,19936,"2015-12-25","Bernie_Sanders"
"332",87,17852,"2015-12-26","Bernie_Sanders"
"333",88,19236,"2015-12-27","Bernie_Sanders"
"334",89,19398,"2015-12-28","Bernie_Sanders"
"335",90,17875,"2015-12-29","Bernie_Sanders"
"336",91,18149,"2015-12-30","Bernie_Sanders"
"337",92,15018,"2015-12-31","Bernie_Sanders"
"338",93,15317,"2016-01-01","Bernie_Sanders"
